Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Founded
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",1913
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1999
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",1993
EQT,EQT,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",1888
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",1899
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",1998
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",1969
ESS,Essex Property Trust,Real Estate,Residential REITs,"San Mateo, California",1971
EL,The Estée Lauder Companies,Consumer Staples,Personal Products,"New York City, New York",1946
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,"New York City, New York",2005
RE,Everest Re,Financials,Reinsurance,"Hamilton, Bermuda",1973
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",1909
ES,Eversource,Utilities,Multi-Utilities,"Hartford, Connecticut",1966
EXC,Exelon,Utilities,Multi-Utilities,"Chicago, Illinois",2000
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",1996
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",1979
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",1977
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",1999
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",1996
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",1978
FAST,Fastenal,Industrials,Building Products,"Winona, Minnesota",1967
FRT,Federal Realty,Real Estate,Retail REITs,"Rockville, Maryland",1962
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1971
FITB,Fifth Third Bank,Financials,Regional Banks,"Cincinnati, Ohio",1858
FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California",1985
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",1997
FIS,FIS,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",1968
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",1984
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",2000
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",1883
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1903
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",2000
FTV,Fortive,Industrials,Industrial Machinery,"Everett, Washington",2016
FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois",2011 (1969)
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,"New York City, New York",2019
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,"New York City, New York",2019
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,"San Mateo, California",1947
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",1912
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",1989
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",1979
GEN,Gen Digital Inc.,Information Technology,Application Software,"Tempe, Arizona",1982
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",1959
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",1899
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",1892
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1856
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",1908
GPC,Genuine Parts Company,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",1925
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",1987
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",1900
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",2000
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",1869
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1919
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",1810
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1923
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",1968
PEAK,Healthpeak,Real Estate,Health Care REITs,"Long Beach, California",1985
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",1932
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1894
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",1919
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",1919
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",1985
HD,The Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1978
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",1906
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",1891
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",1993
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",2016
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1939 (2015)
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",1961
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1866
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",2011
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",1911
IEX,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",1988
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",1983
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",1912
ILMN,Illumina,Health Care,Life Sciences Tools & Services,"San Diego, California",1998
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",1991
IR,Ingersoll Rand,Industrials,Industrial Machinery,"Davidson, North Carolina",1859
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",1968
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2000
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",1898
IPG,The Interpublic Group of Companies,Communication Services,Advertising,"New York City, New York",1961 (1930)
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",1958 (1889)
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",1983
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",1995
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",1935
INVH,Invitation Homes,Real Estate,Residential REITs,"Dallas, Texas",2012
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",1982
IRM,Iron Mountain,Real Estate,Specialized REITs,"Boston, Massachusetts",1951
JBHT,J.B. Hunt,Industrials,Trucking,"Lowell, Arkansas",1961
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",1976
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",1947
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1886
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",1885
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",2000 (1799 / 1871)
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",1996
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",1906
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks,"Burlington, Massachusetts",1981
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1825
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2014 (1939)
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",1872
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",1958
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",1997
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,"Milpitas, California",1975/1977 (1997)
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015 (1869)
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",1883
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",2019 (1895)
LH,LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",1978
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",1980
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2016 (1950)
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",1988
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",1969
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",1954
LNC,Lincoln Financial,Financials,Multi-line Insurance,"Radnor, Pennsylvania",1905
LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",1879
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",2010
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",1998
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",1995
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",1959
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1904/1946/1959
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,"Monroe, Louisiana",1983 (1877)
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2007
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",1856
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1887
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2009 (1887)
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2000
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1927
MMC,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",1905
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",1993
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",1929
MA,Mastercard,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",1966
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",1986
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",1889
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",1940
MCK,McKesson,Health Care,Health Care Distributors,"Irving, Texas",1833
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",1949
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1891
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",2004
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",1868
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",1945
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",1986
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",1989
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1978
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1975
MAA,Mid-America Apartment Communities,Real Estate,Residential REITs,"Memphis, Tennessee",1977
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",2010
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",1878
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",1980
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois","2005 (Molson 1786, Coors 1873)"
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",1997
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",2012 (1935)
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",1909
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",1935
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2004 (1865 / 1909)
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1928 (2011)
MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",1969
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",1971
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1992
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",1997
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",1903
NEM,Newmont,Materials,Gold,"Denver, Colorado",1921
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",2013 (1980)
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",2013 (1980)
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1984 (1925)
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1964
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",1912
NDSN,Nordson Corporation,Industrials,Industrial Machinery,"Westlake, Ohio",1935
NSC,Norfolk Southern Railway,Industrials,Railroads,"Norfolk, Virginia",1881/1894 (1980)
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",1889
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia","1994 (Northrop 1939, Grumman 1930)"
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2011 (1966)
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",1992
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",1940
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",1993
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",1980
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",1953
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",1957
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1920
ODFL,Old Dominion,Industrials,Trucking,"Thomasville, North Carolina",1934
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",1986
ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",1999
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1906
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",1977
OGN,Organon & Co.,Health Care,Pharmaceuticals,"Jersey City, New Jersey",2021
OTIS,Otis Worldwide,Industrials,Industrial Machinery,"Farmington, Connecticut",2020 (1853)
PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",1905
PKG,Packaging Corporation of America,Materials,Paper Packaging,"Lake Forest, Illinois",1959
PARA,Paramount Global,Communication Services,Movies & Entertainment,"New York City, New York",2019 (1952)
PH,Parker Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio",1917
PAYX,Paychex,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",1971
PAYC,Paycom,Information Technology,Application Software,"Oklahoma City, Oklahoma",1998
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",1998
PNR,Pentair,Industrials,Industrial Machinery,"Worsley, United Kingdom",1966
PEP,PepsiCo,Consumer Staples,Soft Drinks,"Purchase, New York",1898
PKI,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts",1937
PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1849
PCG,PG&E Corporation,Utilities,Multi-Utilities,"San Francisco, California",1905
PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",2008 (1847)
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012 (1917)
PNW,Pinnacle West,Utilities,Multi-Utilities,"Phoenix, Arizona",1985
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",1997
PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1845
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",1993
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1883
PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",1920
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",1879
PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",1837
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1937
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",1983
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",1875
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1903
PTC,PTC,Information Technology,Application Software,"Boston, Massachusetts",1985
PSA,Public Storage,Real Estate,Specialized REITs,"Glendale, California",1972
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1956
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",2015
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",1997
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",1985
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",1967
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",1967
RJF,Raymond James,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",1962
RTX,Raytheon Technologies,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1922
O,Realty Income,Real Estate,Retail REITs,"San Diego, California",1969
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",1963
REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",1988
RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",1971
RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",1998 (1981)
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",1989
RHI,Robert Half,Industrials,Human Resource & Employment Services,"Menlo Park, California",1948
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",1903
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",1948
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",1981
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",1982
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1997
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",1917
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",1999
SBAC,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida",1989
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1926
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",1979
SEE,Sealed Air,Materials,Paper Packaging,"Charlotte, North Carolina",1960
SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",1998
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",2003
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",1866
SBNY,Signature Bank,Financials,Regional Banks,"New York City, New York",2001
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",2003
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",2002
SJM,The J.M. Smucker Company,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",1897
